Date & Hour;Open;High;Low;Close;Volume
2022-11-16 13:00:00;3.1000;3.1300;3.0900;3.0950;140962
2022-11-16 12:00:00;3.1400;3.1800;3.1000;3.1000;246957
2022-11-16 11:00:00;3.0750;3.1700;3.0750;3.1400;202771
2022-11-16 10:00:00;3.1680;3.2100;3.0700;3.0750;593774
2022-11-16 09:00:00;3.4000;3.4000;3.1640;3.1650;447130
2022-11-16 08:00:00;3.3210;3.3210;3.3210;3.3210;495
2022-11-16 07:00:00;3.3100;3.3100;3.3100;3.3100;332
2022-11-16 04:00:00;3.3100;3.3100;3.3100;3.3100;261
2022-11-15 18:00:00;3.3100;3.4100;3.3100;3.3500;1000
2022-11-15 17:00:00;3.3000;3.4100;3.3000;3.4100;4400
2022-11-15 16:00:00;3.4200;3.4500;3.2510;3.4500;165401
2022-11-15 15:00:00;3.4300;3.4450;3.4000;3.4200;548853
2022-11-15 14:00:00;3.3850;3.4300;3.3400;3.4250;472033
2022-11-15 13:00:00;3.4250;3.4950;3.3700;3.3850;481102
2022-11-15 12:00:00;3.4900;3.5300;3.4100;3.4250;742920
2022-11-15 11:00:00;3.5000;3.5100;3.4250;3.4850;943383
2022-11-15 10:00:00;3.5000;3.5680;3.4200;3.5000;1426110
2022-11-15 09:00:00;3.3820;3.5300;3.3000;3.4950;1201967
2022-11-15 08:00:00;3.4460;3.4500;3.3200;3.4000;5770
2022-11-15 05:00:00;3.3200;3.3200;3.3200;3.3200;250
2022-11-14 19:00:00;3.2700;3.3000;3.2700;3.3000;964
2022-11-14 18:00:00;3.2600;3.2600;3.2500;3.2600;855
2022-11-14 17:00:00;3.2600;3.2600;3.2600;3.2600;100
2022-11-14 16:00:00;3.2200;3.2600;3.2200;3.2600;164155
2022-11-14 15:00:00;3.3250;3.3300;3.2100;3.2200;754126
2022-11-14 14:00:00;3.3600;3.3900;3.3050;3.3200;278675
2022-11-14 13:00:00;3.3550;3.4000;3.3500;3.3650;358331
2022-11-14 12:00:00;3.3750;3.3900;3.2900;3.3550;484213
2022-11-14 11:00:00;3.3890;3.4100;3.2800;3.3750;465277
2022-11-14 10:00:00;3.3950;3.4140;3.3000;3.3850;784513
2022-11-14 09:00:00;3.4100;3.5150;3.3000;3.4000;1074618
2022-11-14 08:00:00;3.3550;3.5780;3.3550;3.4500;13407
2022-11-14 07:00:00;3.3900;3.4500;3.3500;3.4500;24613
2022-11-14 06:00:00;3.3800;3.3900;3.3000;3.3900;2369
2022-11-14 05:00:00;3.4500;3.4500;3.3300;3.3400;4218
2022-11-14 04:00:00;3.5800;3.6000;3.4600;3.4600;2346
2022-11-11 19:00:00;3.5500;3.7100;3.5100;3.6000;19208
2022-11-11 18:00:00;3.5400;3.5500;3.5000;3.5500;12234
2022-11-11 17:00:00;3.4300;3.5400;3.4300;3.5000;9805
2022-11-11 16:00:00;3.5000;3.5500;3.4120;3.4400;152560
2022-11-11 15:00:00;3.5050;3.5300;3.4400;3.4950;3246255
2022-11-11 14:00:00;3.5890;3.6200;3.4800;3.5050;1785882
2022-11-11 13:00:00;3.6090;3.6200;3.5200;3.5880;1602474
2022-11-11 12:00:00;3.6150;3.6500;3.4900;3.6050;2945205
2022-11-11 11:00:00;3.8000;3.8000;3.5700;3.6150;4796546
2022-11-11 10:00:00;3.0100;4.2100;2.9910;3.7990;15514899
2022-11-11 09:00:00;2.3000;3.2100;2.1810;3.0100;2591426
2022-11-11 08:00:00;2.2100;2.2100;2.1900;2.2100;853
2022-11-11 04:00:00;2.4300;2.4300;2.4300;2.4300;200
2022-11-10 19:00:00;2.2600;2.3000;2.2500;2.2500;16953
2022-11-10 17:00:00;2.2500;2.3200;2.2500;2.3200;20109
2022-11-10 16:00:00;2.4400;2.4400;2.2500;2.2500;294710
2022-11-10 15:00:00;2.3450;2.4200;2.3300;2.4200;1137392
2022-11-10 14:00:00;2.3650;2.3700;2.3400;2.3400;477946
2022-11-10 13:00:00;2.3300;2.3700;2.3200;2.3650;624077
2022-11-10 12:00:00;2.3850;2.4000;2.3100;2.3200;414572
2022-11-10 11:00:00;2.3800;2.3950;2.3200;2.3900;618876
2022-11-10 10:00:00;2.2250;2.3900;2.2100;2.3750;1954145
2022-11-10 09:00:00;1.9600;2.2600;1.9600;2.2250;1025226
2022-11-10 08:00:00;1.8800;1.9700;1.8000;1.9600;10253
2022-11-09 19:00:00;1.8700;1.8700;1.8700;1.8700;1498
2022-11-09 18:00:00;1.8700;1.8700;1.8500;1.8700;3700
2022-11-09 17:00:00;1.8600;1.8600;1.8600;1.8600;100
2022-11-09 16:00:00;1.8500;1.8500;1.8300;1.8500;154499
2022-11-09 15:00:00;1.8450;1.8700;1.8400;1.8450;478337
2022-11-09 14:00:00;1.8550;1.8700;1.8400;1.8400;158101
